"pid","training","shj","trial","finish1","finish2","finish3","start1","start2","start3","startcat","finishcat","accuracy","switch_count","start","finish"
4436,"classify",2,3,0,1,0,1,0,0,"Tannet","Tannet",0,2,5,3
4436,"classify",2,4,1,0,0,1,1,1,"Lape","Tannet",1,2,8,5
4436,"classify",2,5,0,0,1,1,0,1,"Tannet","Lape",1,1,6,2
4436,"classify",2,6,1,1,0,0,1,0,"Tannet","Lape",1,1,3,7
4436,"classify",2,7,1,1,1,0,0,0,"Lape","Lape",0,3,1,8
4436,"classify",2,8,1,1,0,0,1,1,"Tannet","Lape",1,2,4,7
4481,"classify",2,1,1,0,0,1,0,1,"Tannet","Tannet",0,1,6,5
4481,"classify",2,2,0,0,0,1,1,0,"Lape","Lape",0,2,7,1
4481,"classify",2,3,0,1,0,1,1,1,"Lape","Tannet",1,2,8,3
4481,"classify",2,4,0,0,1,0,0,0,"Lape","Lape",0,1,1,2
4481,"classify",2,5,0,1,1,0,0,1,"Lape","Tannet",1,1,2,4
4481,"classify",2,6,1,1,1,1,0,0,"Tannet","Lape",1,2,5,8
4481,"classify",2,7,1,1,0,0,1,0,"Tannet","Lape",1,1,3,7
4481,"classify",2,8,1,0,1,0,1,1,"Tannet","Tannet",0,2,4,6
4505,"classify",2,1,1,0,0,1,1,1,"Lape","Tannet",1,2,8,5
4505,"classify",2,2,0,1,1,1,0,0,"Tannet","Tannet",0,3,5,4
4505,"classify",2,3,0,0,0,1,1,0,"Lape","Lape",0,2,7,1
4505,"classify",2,4,0,1,0,1,0,1,"Tannet","Tannet",0,3,6,3
4505,"classify",2,5,1,0,0,0,0,0,"Lape","Tannet",1,1,1,5
4505,"classify",2,6,1,0,0,0,0,1,"Lape","Tannet",1,2,2,5
4505,"classify",2,7,1,1,1,0,1,1,"Tannet","Lape",1,1,4,8
4505,"classify",2,8,1,1,1,0,1,0,"Tannet","Lape",1,2,3,8
4528,"classify",2,1,0,1,1,1,1,0,"Lape","Tannet",1,2,7,4
