"pid","shj","block","trial","finish1","finish2","finish3","start1","start2","start3","startcat","finishcat","accuracy","attempt_num","switch_count","start","finish"
4226,2,8,7,1,1,0,0,1,"0","Tannet","Lape",1,1,1,3,7
4226,2,8,8,0,1,1,0,0,"1","Lape","Tannet",1,1,1,2,4
4226,2,9,1,1,1,0,1,0,"0","Tannet","Lape",1,1,1,5,7
4226,2,9,2,1,1,0,0,1,"0","Tannet","Lape",1,1,1,3,7
4226,2,9,3,0,1,1,1,1,"1","Lape","Tannet",1,1,1,8,4
4226,2,9,4,0,1,1,0,0,"0","Lape","Tannet",1,1,2,1,4
4226,2,9,5,1,1,0,1,0,"1","Tannet","Lape",1,1,2,6,7
4226,2,9,6,0,1,1,1,1,"0","Lape","Tannet",1,1,2,7,4
4226,2,9,7,1,1,0,0,1,"1","Tannet","Lape",1,1,2,4,7
4226,2,9,8,0,1,1,0,0,"1","Lape","Tannet",1,1,1,2,4
4226,2,10,1,0,0,1,0,0,"0","Lape","Lape",0,1,1,1,2
4226,2,10,1,0,1,1,0,0,"0","Lape","Tannet",1,2,2,1,4
4226,2,10,2,1,1,0,0,1,"0","Tannet","Lape",1,1,1,3,7
4226,2,10,3,0,1,1,1,1,"1","Lape","Tannet",1,1,1,8,4
4226,2,10,4,1,1,0,0,1,"1","Tannet","Lape",1,1,2,4,7
4226,2,10,5,0,1,1,0,0,"1","Lape","Tannet",1,1,1,2,4
4226,2,10,6,0,0,1,1,1,"0","Lape","Lape",0,1,3,7,2
4226,2,10,6,0,1,1,1,1,"0","Lape","Tannet",1,2,2,7,4
4226,2,10,7,1,1,0,1,0,"0","Tannet","Lape",1,1,1,5,7
4226,2,10,8,1,1,0,1,0,"1","Tannet","Lape",1,1,2,6,7
4226,2,11,1,1,1,0,0,1,"1","Tannet","Lape",1,1,2,4,7
4226,2,11,2,0,1,1,1,1,"0","Lape","Tannet",1,1,2,7,4
4226,2,11,3,0,1,1,1,1,"1","Lape","Tannet",1,1,1,8,4
4226,2,11,4,1,1,0,1,0,"1","Tannet","Lape",1,1,2,6,7
4226,2,11,5,1,1,0,0,1,"0","Tannet","Lape",1,1,1,3,7
4226,2,11,6,0,1,1,0,0,"1","Lape","Tannet",1,1,1,2,4
4226,2,11,7,0,1,1,0,0,"0","Lape","Tannet",1,1,2,1,4
4226,2,11,8,1,1,0,1,0,"0","Tannet","Lape",1,1,1,5,7
4226,2,12,1,0,1,1,1,1,"0","Lape","Tannet",1,1,2,7,4
4226,2,12,2,0,1,1,1,1,"1","Lape","Tannet",1,1,1,8,4
4226,2,12,3,1,1,0,1,0,"0","Tannet","Lape",1,1,1,5,7
4226,2,12,4,0,1,1,0,0,"0","Lape","Tannet",1,1,2,1,4
4226,2,12,5,1,1,0,1,0,"1","Tannet","Lape",1,1,2,6,7
4226,2,12,6,1,1,0,0,1,"0","Tannet","Lape",1,1,1,3,7
4226,2,12,7,0,1,1,0,0,"1","Lape","Tannet",1,1,1,2,4
4226,2,12,8,1,1,0,0,1,"1","Tannet","Lape",1,1,2,4,7
4236,2,1,1,0,1,1,1,0,"1","Tannet","Tannet",0,1,2,6,4
4236,2,1,1,1,0,0,1,0,"1","Tannet","Tannet",0,2,1,6,5
4236,2,1,1,1,1,1,1,0,"1","Tannet","Lape",1,3,1,6,8
4236,2,1,2,0,0,1,0,1,"1","Tannet","Lape",1,1,1,4,2
4236,2,1,3,1,0,0,0,0,"0","Lape","Tannet",1,1,1,1,5
4236,2,1,4,0,1,1,1,0,"0","Tannet","Tannet",0,1,3,5,4
4236,2,1,4,1,1,1,1,0,"0","Tannet","Lape",1,2,2,5,8
4236,2,1,5,0,0,0,0,0,"1","Lape","Lape",0,1,1,2,1
4236,2,1,5,1,0,1,0,0,"1","Lape","Tannet",1,2,1,2,6
4236,2,1,6,0,1,1,1,1,"1","Lape","Tannet",1,1,1,8,4
4236,2,1,7,0,0,0,0,1,"0","Tannet","Lape",1,1,1,3,1
4236,2,1,8,1,1,1,1,1,"0","Lape","Lape",0,1,1,7,8
4236,2,1,8,0,1,0,1,1,"0","Lape","Tannet",1,2,1,7,3
4236,2,2,1,1,1,0,1,1,"1","Lape","Lape",0,1,1,8,7
4236,2,2,1,0,1,0,1,1,"1","Lape","Tannet",1,2,2,8,3
4236,2,2,2,0,0,1,0,1,"0","Tannet","Lape",1,1,2,3,2
4236,2,2,3,0,1,0,1,1,"0","Lape","Tannet",1,1,1,7,3
